GCM,SSP,type,studyArea,GID
NA,NA,hist_monthly,ON,1mHWxGK6ujYewIVewfiU8-035c4mBd9fw
NA,NA,hist_normals,ON,1nMoAvtwc-6TYGsVCELycKbhj64WfD3dm
13GCMs_ensemble,245,proj_monthly,ON,1CsUdzV5r6QhjGigY2mM8TqSaJ_-JfO4Y
13GCMs_ensemble,370,proj_monthly,ON,13PZyVTW-khvsYy_lkW4tQ1ffMc9rTbxK
13GCMs_ensemble,585,proj_monthly,ON,1MHGKqZq-zpikviswbiJ-nyD62TBX9l6T
CanESM5,245,proj_monthly,ON,1pdTo2WfsvUzX23Tk0iVSQoj-Ci69wFch
CanESM5,370,proj_monthly,ON,11raQNlEm8C0XmPbhnLiJc7fyEqoQNSea
CanESM5,585,proj_monthly,ON,197cu0kkGstLh3HQV2m3-lyYyku0e3saJ
CCSM4,45,proj_monthly,ON,1xgTS-BHd3Rna5C2svqBdneQMEWjD5q5Z
CCSM4,85,proj_monthly,ON,1haj15Jf7HhEWxRU52_mTp3VIcqfWYQ5K
CNRM-ESM2-1,245,proj_monthly,ON,1_pW-vZDnSiTLEoaCepQrAhqWYiqeCfD9
CNRM-ESM2-1,370,proj_monthly,ON,1fX462Ewpei8gbRXYf1qLxz_ytNXCh6ob
CNRM-ESM2-1,585,proj_monthly,ON,18t0kBD8xs0RIHx9IKaRBFA0v3PUTP4-E
CanESM5,245,proj_annual,ON,16ufc28GKp0n_grZTsjrMIClvuyCAM52b
CanESM5,370,proj_annual,ON,1yEX8L7MgwyWJFGRlbOwLonnuQ05LE0_a
CanESM5,585,proj_annual,ON,13qUfsAfHuqjsvfCmyhBX304QH-sFpqCI
CNRM-ESM2-1,245,proj_annual,ON,1zOe79EALc4yStpVALJb3mSkp6F2LzXLK
CNRM-ESM2-1,370,proj_annual,ON,1AE8zkTDmcJNq7fkyZ-6yoGAenLDY5ojd
CNRM-ESM2-1,585,proj_annual,ON,1OTikvEAZazOSqTSsrAkhF9Kdd1wVDkxH
